time_value,dep_count,arr_count,value,dep_value,arr_value
21:40:00,25,69,94,0.26595744680851063,0.7340425531914894
21:50:00,25,77,102,0.24509803921568626,0.7549019607843137
22:00:00,20,79,99,0.20202020202020202,0.797979797979798
22:10:00,7,64,71,0.09859154929577464,0.9014084507042254
22:20:00,15,73,88,0.17045454545454544,0.8295454545454546
22:30:00,8,79,87,0.09195402298850575,0.9080459770114943
22:40:00,9,80,89,0.10112359550561797,0.898876404494382
22:50:00,11,53,64,0.171875,0.828125
23:00:00,11,61,72,0.1527777777777778,0.8472222222222222
23:10:00,12,52,64,0.1875,0.8125
23:20:00,6,28,34,0.17647058823529413,0.8235294117647058
23:30:00,4,46,50,0.08,0.92
23:40:00,3,46,49,0.061224489795918366,0.9387755102040817
23:50:00,10,41,51,0.19607843137254902,0.803921568627451
