time_value,dep_count,arr_count,value,dep_value,arr_value
00:00:00,7,17,24,0.2916666666666667,0.7083333333333334
01:00:00,1,12,13,0.07692307692307693,0.9230769230769231
01:10:00,1,9,10,0.1,0.9
02:00:00,0,10,10,0.0,1.0
02:10:00,1,13,14,0.07142857142857142,0.9285714285714286
02:50:00,0,2,2,0.0,1.0
03:00:00,1,18,19,0.05263157894736842,0.9473684210526315
03:10:00,1,6,7,0.14285714285714285,0.8571428571428571
03:40:00,0,1,1,0.0,1.0
03:50:00,0,1,1,0.0,1.0
04:00:00,1,6,7,0.14285714285714285,0.8571428571428571
04:10:00,1,8,9,0.1111111111111111,0.8888888888888888
04:20:00,0,2,2,0.0,1.0
04:30:00,0,8,8,0.0,1.0
04:40:00,0,2,2,0.0,1.0
04:50:00,2,1,3,0.6666666666666666,0.3333333333333333
05:00:00,6,8,14,0.42857142857142855,0.5714285714285714
05:10:00,1,7,8,0.125,0.875
05:20:00,6,1,7,0.8571428571428571,0.14285714285714285
05:30:00,8,1,9,0.8888888888888888,0.1111111111111111
05:40:00,12,0,12,1.0,0.0
05:50:00,26,0,26,1.0,0.0
06:00:00,138,0,138,1.0,0.0
06:10:00,72,0,72,1.0,0.0
06:20:00,57,0,57,1.0,0.0
06:30:00,102,2,104,0.9807692307692307,0.019230769230769232
06:40:00,57,3,60,0.95,0.05
06:50:00,51,6,57,0.8947368421052632,0.10526315789473684
07:00:00,121,11,132,0.9166666666666666,0.08333333333333333
07:10:00,61,12,73,0.8356164383561644,0.1643835616438356
07:20:00,62,16,78,0.7948717948717948,0.20512820512820512
07:30:00,66,22,88,0.75,0.25
07:40:00,57,18,75,0.76,0.24
07:50:00,69,23,92,0.75,0.25
08:00:00,100,28,128,0.78125,0.21875
08:10:00,114,31,145,0.7862068965517242,0.21379310344827587
08:20:00,84,39,123,0.6829268292682927,0.3170731707317073
08:30:00,103,32,135,0.762962962962963,0.23703703703703705
08:40:00,73,52,125,0.584,0.416
08:50:00,77,73,150,0.5133333333333333,0.4866666666666667
09:00:00,131,63,194,0.6752577319587629,0.3247422680412371
09:10:00,65,69,134,0.48507462686567165,0.5149253731343284
09:20:00,53,47,100,0.53,0.47
09:30:00,69,62,131,0.5267175572519084,0.4732824427480916
09:40:00,52,63,115,0.45217391304347826,0.5478260869565217
09:50:00,56,78,134,0.417910447761194,0.582089552238806
10:00:00,79,93,172,0.45930232558139533,0.5406976744186046
10:10:00,57,95,152,0.375,0.625
10:20:00,51,85,136,0.375,0.625
10:30:00,52,88,140,0.37142857142857144,0.6285714285714286
10:40:00,46,91,137,0.3357664233576642,0.6642335766423357
10:50:00,46,87,133,0.3458646616541353,0.6541353383458647
11:00:00,71,105,176,0.4034090909090909,0.5965909090909091
11:10:00,46,100,146,0.3150684931506849,0.684931506849315
11:20:00,48,77,125,0.384,0.616
11:30:00,76,61,137,0.5547445255474452,0.44525547445255476
11:40:00,58,63,121,0.4793388429752066,0.5206611570247934
11:50:00,63,57,120,0.525,0.475
12:00:00,86,74,160,0.5375,0.4625
12:10:00,32,73,105,0.3047619047619048,0.6952380952380952
12:20:00,39,60,99,0.3939393939393939,0.6060606060606061
12:30:00,48,67,115,0.41739130434782606,0.5826086956521739
12:40:00,62,56,118,0.5254237288135594,0.4745762711864407
12:50:00,59,64,123,0.4796747967479675,0.5203252032520326
13:00:00,91,68,159,0.5723270440251572,0.4276729559748428
13:10:00,50,59,109,0.45871559633027525,0.5412844036697247
13:20:00,54,60,114,0.47368421052631576,0.5263157894736842
13:30:00,61,66,127,0.48031496062992124,0.5196850393700787
13:40:00,55,71,126,0.4365079365079365,0.5634920634920635
13:50:00,73,71,144,0.5069444444444444,0.4930555555555556
14:00:00,46,69,115,0.4,0.6
14:10:00,38,59,97,0.3917525773195876,0.6082474226804123
14:20:00,46,56,102,0.45098039215686275,0.5490196078431373
14:30:00,62,52,114,0.543859649122807,0.45614035087719296
14:40:00,73,61,134,0.5447761194029851,0.4552238805970149
14:50:00,127,66,193,0.6580310880829016,0.34196891191709844
15:00:00,121,61,182,0.6648351648351648,0.33516483516483514
15:10:00,62,57,119,0.5210084033613446,0.4789915966386555
15:20:00,78,56,134,0.582089552238806,0.417910447761194
15:30:00,85,50,135,0.6296296296296297,0.37037037037037035
15:40:00,78,61,139,0.5611510791366906,0.43884892086330934
15:50:00,112,53,165,0.6787878787878788,0.3212121212121212
16:00:00,131,50,181,0.7237569060773481,0.27624309392265195
16:10:00,69,58,127,0.5433070866141733,0.4566929133858268
16:20:00,64,64,128,0.5,0.5
16:30:00,83,76,159,0.5220125786163522,0.4779874213836478
16:40:00,74,82,156,0.47435897435897434,0.5256410256410257
16:50:00,72,102,174,0.41379310344827586,0.5862068965517241
17:00:00,106,72,178,0.5955056179775281,0.4044943820224719
17:10:00,87,64,151,0.5761589403973509,0.423841059602649
17:20:00,82,69,151,0.543046357615894,0.45695364238410596
17:30:00,95,79,174,0.5459770114942529,0.4540229885057471
17:40:00,63,65,128,0.4921875,0.5078125
17:50:00,65,75,140,0.4642857142857143,0.5357142857142857
18:00:00,104,88,192,0.5416666666666666,0.4583333333333333
18:10:00,81,82,163,0.49693251533742333,0.5030674846625767
18:20:00,80,79,159,0.5031446540880503,0.4968553459119497
18:30:00,91,77,168,0.5416666666666666,0.4583333333333333
18:40:00,54,81,135,0.4,0.6
18:50:00,81,91,172,0.47093023255813954,0.5290697674418605
19:00:00,93,86,179,0.5195530726256983,0.48044692737430167
19:10:00,60,88,148,0.40540540540540543,0.5945945945945946
